OBJECTID,price,m2,rooms_number,market,building_type,floor_no,building_floor,windows_type,heating,build_year,construction,rent,building_ownership,latitude,longitude,building_material,metro_distance,bust_tram_distance,rail_distance,centre_travel_time,park_distance,uniqueID,district_numerical,is_duplicate,labels,geometry
11001,1850000.0,120.0,6,1,1,0,2,1,5,1963,2,0.0,0,52.25584,20.89621,9,2144.28,108.64,4409.1,22,1703.0,11039,1,False,2,POINT (20.89621 52.25584)
6021,1800000.0,87.03,4,1,1,3,6,1,5,2019,0,1250.0,3,52.17897,21.04374,9,1316.02,291.55,3879.61,21,550.0,6042,4,False,0,POINT (21.04374 52.17897)
11805,2650000.0,99.6,3,1,6,0,4,1,5,1928,0,0.0,0,52.2631207,20.9919626,1,404.91,72.16,430.37,12,417.0,11846,18,False,0,POINT (20.9919626 52.2631207)
6003,3900000.0,116.5,3,1,0,4,8,1,5,2004,0,4200.0,0,52.20193,21.02727,1,1066.84,220.95,3331.94,12,28.0,6023,4,False,0,POINT (21.02727 52.20193)
11546,915000.0,57.3,4,1,1,1,12,1,5,1975,0,850.0,0,52.17695,21.01888,9,565.64,144.87,2207.92,18,1194.0,11586,4,False,0,POINT (21.01888 52.17695)
3775,699000.0,48.6,2,1,1,2,3,1,2,2010,0,700.0,0,52.2208927345,21.2419423012,1,13846.08,77.65,3599.12,26,975.0,3784,14,False,2,POINT (21.2419423012 52.2208927345)
3992,480000.0,25.07,1,1,1,1,11,1,5,1963,0,390.0,0,52.2646107,21.0257808451,4,1221.23,197.62,532.74,15,206.0,4004,7,False,0,POINT (21.0257808451 52.2646107)
12112,1500000.0,64.51,3,1,6,1,4,1,5,1927,0,979.0,0,52.25222,21.031,1,329.02,86.81,702.13,13,105.0,12154,7,False,0,POINT (21.031 52.25222)
12001,2500000.0,113.0,5,1,6,4,5,1,2,1953,0,600.0,0,52.2365399,20.9615594,1,95.44,147.28,343.2,15,430.0,12043,17,False,1,POINT (20.9615594 52.2365399)
11501,1599000.0,80.0,3,1,6,0,5,1,2,1938,0,818.0,0,52.23051356,21.04009813,1,1199.97,274.34,890.0,9,0.0,11541,9,False,0,POINT (21.04009813 52.23051356)
6490,990000.0,41.55,2,0,0,0,7,1,5,2026,1,500.0,3,52.2285091531,20.979295028,6,213.29,81.6,540.51,10,1075.0,6511,17,False,0,POINT (20.979295028 52.2285091531)
2948,690000.0,38.0,2,1,1,1,9,1,5,1980,0,700.0,0,52.26515,21.03959,4,402.39,127.04,825.44,15,325.0,2957,7,False,0,POINT (21.03959 52.26515)
3566,519000.0,35.3,2,1,1,2,4,1,5,1967,2,600.0,0,52.2745611,20.9546782,9,429.31,159.86,2377.01,18,38.0,3575,3,False,0,POINT (20.9546782 52.2745611)
7179,2070000.0,88.23,4,1,6,1,2,1,5,1770,0,1162.68,0,52.2448559,21.0161055,9,875.6,132.85,1478.83,12,46.0,7201,9,False,0,POINT (21.0161055 52.2448559)
4229,655000.0,38.2,1,1,1,2,3,1,5,1958,3,700.0,3,52.275681,20.95517,1,324.57,103.55,2469.25,19,160.0,4241,3,False,0,POINT (20.95517 52.275681)
12484,1386688.0,73.76,3,0,0,0,4,1,5,2024,3,0.0,0,52.16047,21.07848,9,2478.78,303.6,6262.2,23,682.0,12529,15,False,1,POINT (21.07848 52.16047)
3254,445000.0,24.0,1,1,1,3,10,1,5,1975,0,460.0,0,52.2870117124,20.9410829006,4,126.33,154.58,4041.84,24,624.0,3263,3,False,1,POINT (20.9410829006 52.2870117124)
12468,850000.0,57.0,3,1,1,10,10,1,5,0,0,1083.0,0,52.1916797,20.9666348,9,3198.55,339.02,571.74,17,126.0,12513,16,False,0,POINT (20.9666348 52.1916797)
9890,695000.0,56.49,3,1,1,2,2,1,2,2024,1,1000.0,0,52.3030206026,21.0642225976,6,1497.24,311.84,2990.35,22,0.0,9922,10,False,1,POINT (21.0642225976 52.3030206026)
2097,795000.0,57.0,3,1,1,8,12,1,5,1977,0,700.0,1,52.17956,21.05678,9,2168.32,123.51,4769.17,23,780.0,2103,4,False,0,POINT (21.05678 52.17956)
8606,5056000.0,64.0,2,1,1,11,54,1,5,2007,3,0.0,3,52.23138,21.00298,9,299.77,37.59,1016.44,5,659.0,8631,9,False,0,POINT (21.00298 52.23138)
4017,499000.0,25.1,1,1,0,5,6,1,5,2001,3,0.0,0,52.24373,21.08355,9,2754.71,41.46,1731.94,14,568.0,4029,6,False,0,POINT (21.08355 52.24373)
5155,639000.0,34.55,2,1,1,3,3,1,5,1958,0,550.0,0,52.2445,21.0817,9,2620.13,93.61,1819.68,12,524.0,5174,6,False,0,POINT (21.0817 52.2445)
383,2190000.0,131.58,3,1,0,5,6,1,5,2016,1,1700.0,0,52.27658675,20.9642476839,6,221.44,96.63,2341.64,19,416.0,385,3,False,0,POINT (20.9642476839 52.27658675)
2944,1599000.0,99.0,4,1,1,4,5,1,5,2019,0,1100.0,0,52.1929603276,20.9199250262,9,5106.04,373.9,778.61,20,1520.0,2953,16,False,1,POINT (20.9199250262 52.1929603276)
2602,890000.0,46.5,2,1,0,2,8,1,5,2019,0,0.0,0,52.2336168829,21.10790526,9,4618.55,28.97,1797.01,13,819.0,2610,6,False,1,POINT (21.10790526 52.2336168829)
